"TIME","GEO","ANIMALS","UNIT","Value","Flag and Footnotes"
"1990","Hungary","Live horses","Thousand heads (animals)",":",""
"1990","Hungary","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1990","Netherlands","Live horses, asses, mules and hinnies","Thousand heads (animals)","69.592",""
"1990","Netherlands","Live horses","Thousand heads (animals)","69.592",""
"1990","Netherlands","Live asses, mules and hinnies","Thousand heads (animals)","0.000",""
"1990","Poland","Live horses, asses, mules and hinnies","Thousand heads (animals)","941.200",""
"1990","Poland","Live horses","Thousand heads (animals)",":",""
"1990","Poland","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1990","Portugal","Live horses, asses, mules and hinnies","Thousand heads (animals)","145.000",""
"1990","Portugal","Live horses","Thousand heads (animals)","21.000",""
"1990","Portugal","Live asses, mules and hinnies","Thousand heads (animals)","124.000",""
"1990","Romania","Live horses, asses, mules and hinnies","Thousand heads (animals)","670.000",""
"1990","Romania","Live horses","Thousand heads (animals)",":",""
"1990","Romania","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1990","Slovenia","Live horses, asses, mules and hinnies","Thousand heads (animals)","10.000",""
"1990","Slovenia","Live horses","Thousand heads (animals)",":",""
"1990","Slovenia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1990","Slovakia","Live horses, asses, mules and hinnies","Thousand heads (animals)","14.000",""
"1990","Slovakia","Live horses","Thousand heads (animals)",":",""
"1990","Slovakia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1990","United Kingdom","Live horses, asses, mules and hinnies","Thousand heads (animals)","145.000",""
"1990","United Kingdom","Live horses","Thousand heads (animals)","145.000",""
"1990","United Kingdom","Live asses, mules and hinnies","Thousand heads (animals)","0.000",""
"1990","North Macedonia","Live horses, asses, mules and hinnies","Thousand heads (animals)","66.000",""
"1990","North Macedonia","Live horses","Thousand heads (animals)",":",""
"1990","North Macedonia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1990","Albania","Live horses, asses, mules and hinnies","Thousand heads (animals)","181.000",""
"1990","Albania","Live horses","Thousand heads (animals)",":",""
"1990","Albania","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","European Community - 12 countries (1986-1994)","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","European Community - 12 countries (1986-1994)","Live horses","Thousand heads (animals)",":",""
"1991","European Community - 12 countries (1986-1994)","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","European Community - 10 countries (1981-1985)","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","European Community - 10 countries (1981-1985)","Live horses","Thousand heads (animals)",":",""
"1991","European Community - 10 countries (1981-1985)","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","European Community - 9 countries (1973-1980)","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","European Community - 9 countries (1973-1980)","Live horses","Thousand heads (animals)",":",""
"1991","European Community - 9 countries (1973-1980)","Live asses, mules and hinnies","Thousand heads (animals)",":",""
