"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2014","Ireland","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","145.53",""
"2014","Ireland","Covered sows","December","Thousand heads (animals)","102.03",""
"2014","Greece","Live swine, domestic species","December","Thousand heads (animals)","1,046.00",""
"2014","Greece","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","298.00",""
"2014","Greece","Breeding pigs","December","Thousand heads (animals)","160.00",""
"2014","Greece","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","149.00",""
"2014","Greece","Covered sows","December","Thousand heads (animals)","78.00",""
"2014","Spain","Live swine, domestic species","December","Thousand heads (animals)","26,567.58",""
"2014","Spain","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","7,879.91",""
"2014","Spain","Breeding pigs","December","Thousand heads (animals)","2,393.41",""
"2014","Spain","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","2,357.78",""
"2014","Spain","Covered sows","December","Thousand heads (animals)","1,625.64",""
"2014","France","Live swine, domestic species","December","Thousand heads (animals)","13,300.00",""
"2014","France","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","3,219.00",""
"2014","France","Breeding pigs","December","Thousand heads (animals)","1,048.00",""
"2014","France","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","1,035.00",""
"2014","France","Covered sows","December","Thousand heads (animals)","738.00",""
"2014","Croatia","Live swine, domestic species","December","Thousand heads (animals)","1,156.00",""
"2014","Croatia","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","327.00",""
"2014","Croatia","Breeding pigs","December","Thousand heads (animals)","119.00",""
"2014","Croatia","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","116.00",""
"2014","Croatia","Covered sows","December","Thousand heads (animals)","36.00",""
"2014","Italy","Live swine, domestic species","December","Thousand heads (animals)","8,676.10",""
"2014","Italy","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","1,406.80",""
"2014","Italy","Breeding pigs","December","Thousand heads (animals)","612.13",""
"2014","Italy","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","585.72",""
"2014","Italy","Covered sows","December","Thousand heads (animals)","488.47",""
"2014","Cyprus","Live swine, domestic species","December","Thousand heads (animals)","342.07",""
"2014","Cyprus","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","126.46",""
"2014","Cyprus","Breeding pigs","December","Thousand heads (animals)","34.44",""
"2014","Cyprus","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","33.98",""
"2014","Cyprus","Covered sows","December","Thousand heads (animals)","28.34",""
"2014","Latvia","Live swine, domestic species","December","Thousand heads (animals)","349.43",""
"2014","Latvia","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","81.01",""
"2014","Latvia","Breeding pigs","December","Thousand heads (animals)","40.19",""
"2014","Latvia","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","39.47",""
"2014","Latvia","Covered sows","December","Thousand heads (animals)","16.35",""
"2014","Lithuania","Live swine, domestic species","December","Thousand heads (animals)","714.20",""
"2014","Lithuania","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","124.50",""
"2014","Lithuania","Breeding pigs","December","Thousand heads (animals)","57.20",""
"2014","Lithuania","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","56.40",""
"2014","Lithuania","Covered sows","December","Thousand heads (animals)","46.70",""
"2014","Luxembourg","Live swine, domestic species","December","Thousand heads (animals)","92.69",""
"2014","Luxembourg","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","9.76",""
"2014","Luxembourg","Breeding pigs","December","Thousand heads (animals)","5.75",""
"2014","Luxembourg","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","5.67",""
"2014","Luxembourg","Covered sows","December","Thousand heads (animals)","4.34",""
"2014","Hungary","Live swine, domestic species","December","Thousand heads (animals)","3,136.00",""
"2014","Hungary","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","751.00",""
"2014","Hungary","Breeding pigs","December","Thousand heads (animals)","290.00",""
"2014","Hungary","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","285.00",""
"2014","Hungary","Covered sows","December","Thousand heads (animals)","184.00",""
"2014","Malta","Live swine, domestic species","December","Thousand heads (animals)","47.47",""
"2014","Malta","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","11.02",""
"2014","Malta","Breeding pigs","December","Thousand heads (animals)","4.61",""
"2014","Malta","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","4.35",""
"2014","Malta","Covered sows","December","Thousand heads (animals)","3.78",""
