Time frequency,species,Unit of measure,area,year,value
Annual,Laying hens,Thousand heads (animals),Netherlands,1990,44320.0
Annual,Laying hens,Thousand heads (animals),Slovakia,1990,8134.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1990,50085.0
Annual,Laying hens,Thousand heads (animals),Spain,1990,51691.0
Annual,Laying hens,Thousand heads (animals),Belgium,1990,10792.0
Annual,Laying hens,Thousand heads (animals),Sweden,1990,6392.0
Annual,Laying hens,Thousand heads (animals),Croatia,1990,7676.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1990,0.0
Annual,Laying hens,Thousand heads (animals),Ireland,1990,3163.0
Annual,Laying hens,Thousand heads (animals),Italy,1990,47657.0
Annual,Laying hens,Thousand heads (animals),Poland,1990,45378.0
Annual,Laying hens,Thousand heads (animals),Portugal,1990,7800.0
Annual,Laying hens,Thousand heads (animals),Austria,1990,6374.0
Annual,Laying hens,Thousand heads (animals),Austria,1991,6433.0
Annual,Laying hens,Thousand heads (animals),Croatia,1991,6648.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1991,44040.0
Annual,Laying hens,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1991,58400.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1991,44508.0
Annual,Laying hens,Thousand heads (animals),France,1991,64700.0
Annual,Laying hens,Thousand heads (animals),Belgium,1991,11489.0
Annual,Laying hens,Thousand heads (animals),Italy,1991,50997.0
Annual,Laying hens,Thousand heads (animals),Poland,1991,43537.0
Annual,Laying hens,Thousand heads (animals),Ireland,1991,3459.0
Annual,Laying hens,Thousand heads (animals),Spain,1991,49492.0
Annual,Laying hens,Thousand heads (animals),Sweden,1991,6145.0
Annual,Laying hens,Thousand heads (animals),Czechia,1991,14894.0
Annual,Laying hens,Thousand heads (animals),Bulgaria,1991,11110.0
Annual,Laying hens,Thousand heads (animals),Slovakia,1991,8144.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1991,0.0
Annual,Laying hens,Thousand heads (animals),Denmark,1991,3854.0
Annual,Laying hens,Thousand heads (animals),Greece,1991,16329.0
Annual,Laying hens,Thousand heads (animals),Portugal,1991,8100.0
Annual,Laying hens,Thousand heads (animals),Portugal,1992,8325.0
Annual,Laying hens,Thousand heads (animals),Slovakia,1992,7568.0
Annual,Laying hens,Thousand heads (animals),Austria,1992,6227.0
Annual,Laying hens,Thousand heads (animals),Ireland,1992,3324.0
Annual,Laying hens,Thousand heads (animals),Italy,1992,51503.0
Annual,Laying hens,Thousand heads (animals),Spain,1992,46588.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1992,0.0
Annual,Laying hens,Thousand heads (animals),Sweden,1992,6063.0
Annual,Laying hens,Thousand heads (animals),Belgium,1992,11902.0
Annual,Laying hens,Thousand heads (animals),Denmark,1992,3866.0
Annual,Laying hens,Thousand heads (animals),Czechia,1992,13385.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1992,44991.0
Annual,Laying hens,Thousand heads (animals),Poland,1992,40270.0
Annual,Laying hens,Thousand heads (animals),Greece,1992,16072.0
Annual,Laying hens,Thousand heads (animals),France,1992,64400.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1992,43520.0
Annual,Laying hens,Thousand heads (animals),Croatia,1992,6321.0
Annual,Laying hens,Thousand heads (animals),Bulgaria,1992,10608.0
Annual,Laying hens,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1992,54400.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1993,42234.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1993,43090.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1993,0.0
Annual,Laying hens,Thousand heads (animals),Greece,1993,15769.0
Annual,Laying hens,Thousand heads (animals),Denmark,1993,4222.0
Annual,Laying hens,Thousand heads (animals),Portugal,1993,8143.0
Annual,Laying hens,Thousand heads (animals),Italy,1993,49314.0
Annual,Laying hens,Thousand heads (animals),Ireland,1993,3335.0
Annual,Laying hens,Thousand heads (animals),Croatia,1993,6253.0
Annual,Laying hens,Thousand heads (animals),Poland,1993,38967.0
Annual,Laying hens,Thousand heads (animals),Bulgaria,1993,9521.0
Annual,Laying hens,Thousand heads (animals),Sweden,1993,5764.0
Annual,Laying hens,Thousand heads (animals),France,1993,67700.0
Annual,Laying hens,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1993,50700.0
Annual,Laying hens,Thousand heads (animals),Czechia,1993,12556.0
Annual,Laying hens,Thousand heads (animals),Belgium,1993,12506.0
Annual,Laying hens,Thousand heads (animals),Latvia,1993,2375.6
Annual,Laying hens,Thousand heads (animals),Austria,1993,6324.0
Annual,Laying hens,Thousand heads (animals),Spain,1993,45727.0
Annual,Laying hens,Thousand heads (animals),Slovakia,1993,7308.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1994,0.0
Annual,Laying hens,Thousand heads (animals),Slovakia,1994,7578.0
Annual,Laying hens,Thousand heads (animals),Finland,1994,5561.2
Annual,Laying hens,Thousand heads (animals),Italy,1994,48126.0
Annual,Laying hens,Thousand heads (animals),Austria,1994,6477.0
